"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",2.29309135711264,2.29309135711264,5.56588776738093,5.56588776738093,3.54796208204146,2.29309135711264,2.29309135711264,3.54796208204146,2.29309135711264,2.29309135711264,3.54796208204146,1,2.29309135711264,2.29309135711264,3.54796208204146,2.29309135711264,2.29309135711264,1,1,2.29309135711264,2.29309135711264
"2",2.29309135711264,4.5023144817356,1,3.54796208204146,3.54796208204146,3.54796208204146,4.5023144817356,1,3.54796208204146,4.5023144817356,2.29309135711264,3.54796208204146,4.5023144817356,2.29309135711264,2.29309135711264,4.5023144817356,3.54796208204146,2.29309135711264,2.29309135711264,3.54796208204146,4.5023144817356
"3",1,5.56588776738093,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,1,2.29309135711264,2.29309135711264,2.29309135711264,3.54796208204146,5.56588776738093,2.29309135711264,1,2.29309135711264,2.29309135711264
"4",2.29309135711264,4.5023144817356,2.29309135711264,5.56588776738093,2.29309135711264,1,4.5023144817356,2.29309135711264,4.5023144817356,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,3.54796208204146,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,4.5023144817356,2.29309135711264
"5",1,3.54796208204146,3.54796208204146,2.29309135711264,5.56588776738093,2.29309135711264,3.54796208204146,2.29309135711264,5.56588776738093,4.5023144817356,5.56588776738093,2.29309135711264,1,3.54796208204146,4.5023144817356,1,5.56588776738093,1,4.5023144817356,6,1
"6",2.29309135711264,4.5023144817356,1,5.56588776738093,1,2.29309135711264,4.5023144817356,1,1,1,1,1,2.29309135711264,2.29309135711264,5.56588776738093,2.29309135711264,1,1,3.54796208204146,1,4.5023144817356
"7",2.29309135711264,3.54796208204146,3.54796208204146,2.29309135711264,2.29309135711264,3.54796208204146,2.29309135711264,2.29309135711264,2.29309135711264,1,1,3.54796208204146,2.29309135711264,1,1,2.29309135711264,2.29309135711264,1,1,3.54796208204146,1
"8",1,4.5023144817356,1,1,1,2.29309135711264,5.56588776738093,1,1,3.54796208204146,1,1,3.54796208204146,2.29309135711264,5.56588776738093,5.56588776738093,3.54796208204146,1,2.29309135711264,2.29309135711264,2.29309135711264
"9",4.5023144817356,4.5023144817356,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,4.5023144817356,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264
"10",2.29309135711264,5.56588776738093,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,2.29309135711264,1,2.29309135711264,2.29309135711264,2.29309135711264,1,5.56588776738093,2.29309135711264,5.56588776738093,5.56588776738093,2.29309135711264,5.56588776738093,2.29309135711264
