"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",2.17666389902929,2.17666389902929,5.27354126772659,5.27354126772659,3.3682578019038,2.17666389902929,2.17666389902929,3.3682578019038,2.17666389902929,2.17666389902929,3.3682578019038,1,2.17666389902929,2.17666389902929,3.3682578019038,2.17666389902929,2.17666389902929,1,1,2.17666389902929,2.17666389902929
"2",2.17666389902929,4.27199038727948,1,3.3682578019038,3.3682578019038,3.3682578019038,4.27199038727948,1,3.3682578019038,4.27199038727948,2.17666389902929,3.3682578019038,4.27199038727948,2.17666389902929,2.17666389902929,4.27199038727948,3.3682578019038,2.17666389902929,2.17666389902929,1,4.27199038727948
"3",1,5.27354126772659,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,1,2.17666389902929,2.17666389902929,2.17666389902929,3.3682578019038,5.27354126772659,2.17666389902929,1,2.17666389902929,2.17666389902929
"4",2.17666389902929,4.27199038727948,2.17666389902929,5.27354126772659,2.17666389902929,1,4.27199038727948,2.17666389902929,4.27199038727948,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,3.3682578019038,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,4.27199038727948,2.17666389902929
"5",1,3.3682578019038,3.3682578019038,4.27199038727948,5.27354126772659,2.17666389902929,3.3682578019038,2.17666389902929,5.27354126772659,4.27199038727948,5.27354126772659,2.17666389902929,1,3.3682578019038,4.27199038727948,1,5.27354126772659,1,4.27199038727948,6,1
"6",2.17666389902929,4.27199038727948,1,5.27354126772659,1,2.17666389902929,4.27199038727948,1,1,1,1,1,2.17666389902929,2.17666389902929,5.27354126772659,2.17666389902929,1,1,3.3682578019038,1,4.27199038727948
"7",2.17666389902929,3.3682578019038,3.3682578019038,2.17666389902929,2.17666389902929,3.3682578019038,2.17666389902929,2.17666389902929,2.17666389902929,1,1,3.3682578019038,2.17666389902929,1,1,2.17666389902929,2.17666389902929,1,1,3.3682578019038,1
"8",1,4.27199038727948,1,1,1,2.17666389902929,5.27354126772659,1,1,3.3682578019038,1,1,3.3682578019038,2.17666389902929,5.27354126772659,5.27354126772659,3.3682578019038,1,2.17666389902929,2.17666389902929,2.17666389902929
"9",4.27199038727948,4.27199038727948,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,4.27199038727948,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929
"10",1,5.27354126772659,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,1,2.17666389902929,2.17666389902929,2.17666389902929,1,5.27354126772659,2.17666389902929,5.27354126772659,5.27354126772659,2.17666389902929,5.27354126772659,2.17666389902929
"11",1,4.27199038727948,2.17666389902929,3.3682578019038,4.27199038727948,1,4.27199038727948,2.17666389902929,4.27199038727948,2.17666389902929,2.17666389902929,2.17666389902929,3.3682578019038,1,3.3682578019038,3.3682578019038,3.3682578019038,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929
"12",3.3682578019038,4.27199038727948,2.17666389902929,5.27354126772659,5.27354126772659,2.17666389902929,3.3682578019038,2.17666389902929,5.27354126772659,2.17666389902929,2.17666389902929,2.17666389902929,3.3682578019038,3.3682578019038,3.3682578019038,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929
"13",3.3682578019038,3.3682578019038,2.17666389902929,3.3682578019038,2.17666389902929,4.27199038727948,3.3682578019038,3.3682578019038,4.27199038727948,3.3682578019038,2.17666389902929,2.17666389902929,3.3682578019038,2.17666389902929,3.3682578019038,3.3682578019038,2.17666389902929,1,3.3682578019038,4.27199038727948,4.27199038727948
"14",1,5.27354126772659,3.3682578019038,2.17666389902929,2.17666389902929,5.27354126772659,5.27354126772659,2.17666389902929,2.17666389902929,4.27199038727948,2.17666389902929,2.17666389902929,4.27199038727948,5.27354126772659,5.27354126772659,2.17666389902929,5.27354126772659,1,3.3682578019038,2.17666389902929,3.3682578019038
"15",2.17666389902929,6,2.17666389902929,3.3682578019038,5.27354126772659,1,2.17666389902929,2.17666389902929,4.27199038727948,3.3682578019038,1,2.17666389902929,3.3682578019038,4.27199038727948,2.17666389902929,2.17666389902929,5.27354126772659,2.17666389902929,2.17666389902929,3.3682578019038,2.17666389902929
"16",2.17666389902929,5.27354126772659,2.17666389902929,2.17666389902929,2.17666389902929,2.17666389902929,6,4.27199038727948,5.27354126772659,2.17666389902929,1,2.17666389902929,5.27354126772659,2.17666389902929,1,5.27354126772659,5.27354126772659,3.3682578019038,1,4.27199038727948,2.17666389902929
"17",4.27199038727948,4.27199038727948,2.17666389902929,3.3682578019038,1,3.3682578019038,4.27199038727948,2.17666389902929,3.3682578019038,4.27199038727948,4.27199038727948,2.17666389902929,4.27199038727948,2.17666389902929,4.27199038727948,4.27199038727948,4.27199038727948,3.3682578019038,3.3682578019038,2.17666389902929,2.17666389902929
