"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",5,2.0532847729576,3.75374012222658,2.84108807155716,1,2.84108807155716,5,2.0532847729576,2.84108807155716,2.84108807155716,3.75374012222658,2.84108807155716,2.0532847729576,1,5,2.84108807155716,2.0532847729576,5,5,2.84108807155716
"2",3.75374012222658,3.75374012222658,2.0532847729576,2.84108807155716,2.84108807155716,2.0532847729576,2.84108807155716,1,2.0532847729576,1,1,2.84108807155716,2.84108807155716,1,2.84108807155716,2.84108807155716,2.0532847729576,2.84108807155716,2.84108807155716,1
"3",3.75374012222658,2.0532847729576,5,3.75374012222658,2.84108807155716,1,3.75374012222658,1,3.75374012222658,2.0532847729576,3.75374012222658,5,2.0532847729576,2.0532847729576,5,2.0532847729576,1,5,5,1
"4",3.75374012222658,1,2.84108807155716,5,2.84108807155716,5,3.75374012222658,2.0532847729576,1,2.84108807155716,2.0532847729576,5,2.0532847729576,1,2.0532847729576,3.75374012222658,2.84108807155716,5,1,2.84108807155716
"5",2.84108807155716,1,3.75374012222658,2.84108807155716,3.75374012222658,2.0532847729576,3.75374012222658,1,1,2.84108807155716,1,5,1,5,3.75374012222658,5,3.75374012222658,3.75374012222658,2.0532847729576,2.0532847729576
"6",5,1,2.0532847729576,5,2.0532847729576,2.0532847729576,2.84108807155716,3.75374012222658,5,3.75374012222658,2.0532847729576,5,2.0532847729576,2.0532847729576,3.75374012222658,2.0532847729576,3.75374012222658,5,2.84108807155716,2.0532847729576
"7",5,1,5,3.75374012222658,2.84108807155716,2.84108807155716,2.84108807155716,1,2.84108807155716,2.0532847729576,5,5,2.0532847729576,2.84108807155716,2.0532847729576,2.84108807155716,5,5,5,2.0532847729576
"8",1,1,5,2.0532847729576,1,2.0532847729576,3.75374012222658,2.84108807155716,3.75374012222658,3.75374012222658,3.75374012222658,5,2.84108807155716,1,2.84108807155716,5,3.75374012222658,2.84108807155716,1,3.75374012222658
"9",5,2.0532847729576,2.84108807155716,2.84108807155716,2.0532847729576,2.84108807155716,2.84108807155716,2.84108807155716,3.75374012222658,2.84108807155716,1,5,2.0532847729576,2.0532847729576,5,2.84108807155716,1,5,2.0532847729576,2.0532847729576
"10",2.0532847729576,1,2.84108807155716,2.0532847729576,2.0532847729576,1,2.84108807155716,2.84108807155716,2.84108807155716,5,1,5,1,2.0532847729576,3.75374012222658,2.0532847729576,1,3.75374012222658,2.84108807155716,2.0532847729576
"11",2.84108807155716,1,1,5,3.75374012222658,2.84108807155716,2.0532847729576,2.84108807155716,2.84108807155716,5,3.75374012222658,5,1,1,3.75374012222658,3.75374012222658,3.75374012222658,3.75374012222658,3.75374012222658,3.75374012222658
"12",2.84108807155716,2.0532847729576,3.75374012222658,3.75374012222658,3.75374012222658,2.0532847729576,2.84108807155716,2.84108807155716,3.75374012222658,2.0532847729576,2.84108807155716,5,1,2.0532847729576,3.75374012222658,5,3.75374012222658,2.0532847729576,2.84108807155716,2.0532847729576
"13",2.84108807155716,2.0532847729576,3.75374012222658,5,1,2.84108807155716,2.0532847729576,3.75374012222658,3.75374012222658,3.75374012222658,2.84108807155716,3.75374012222658,5,2.84108807155716,2.84108807155716,5,3.75374012222658,2.84108807155716,2.84108807155716,2.0532847729576
"14",2.84108807155716,1,3.75374012222658,3.75374012222658,2.0532847729576,1,1,1,1,3.75374012222658,1,5,2.84108807155716,5,1,3.75374012222658,2.0532847729576,3.75374012222658,1,1
"15",5,2.0532847729576,3.75374012222658,2.0532847729576,2.0532847729576,2.84108807155716,1,2.0532847729576,5,2.0532847729576,3.75374012222658,3.75374012222658,2.84108807155716,1,3.75374012222658,1,1,5,3.75374012222658,1
"16",2.84108807155716,1,2.0532847729576,5,5,2.84108807155716,1,1,5,2.84108807155716,2.84108807155716,3.75374012222658,3.75374012222658,2.84108807155716,5,5,2.84108807155716,5,2.0532847729576,2.0532847729576
"17",5,2.84108807155716,1,2.84108807155716,1,2.84108807155716,2.0532847729576,1,2.0532847729576,1,2.84108807155716,5,3.75374012222658,5,2.0532847729576,2.84108807155716,1,5,2.0532847729576,2.84108807155716
"18",3.75374012222658,2.84108807155716,2.84108807155716,2.84108807155716,1,2.84108807155716,3.75374012222658,1,5,3.75374012222658,2.0532847729576,2.0532847729576,2.84108807155716,3.75374012222658,1,5,2.0532847729576,5,3.75374012222658,1
"19",2.0532847729576,1,3.75374012222658,2.0532847729576,2.0532847729576,2.0532847729576,1,1,3.75374012222658,2.0532847729576,2.0532847729576,5,1,5,5,2.0532847729576,2.0532847729576,5,2.84108807155716,3.75374012222658
"20",5,1,5,2.84108807155716,3.75374012222658,3.75374012222658,3.75374012222658,1,3.75374012222658,1,5,3.75374012222658,3.75374012222658,5,2.84108807155716,1,2.84108807155716,3.75374012222658,3.75374012222658,1
"21",2.84108807155716,1,3.75374012222658,3.75374012222658,2.0532847729576,2.84108807155716,2.84108807155716,1,2.84108807155716,1,2.0532847729576,5,2.84108807155716,2.84108807155716,2.0532847729576,2.84108807155716,2.84108807155716,3.75374012222658,2.0532847729576,2.84108807155716
"22",3.75374012222658,1,2.84108807155716,5,3.75374012222658,3.75374012222658,5,1,1,2.0532847729576,3.75374012222658,3.75374012222658,3.75374012222658,3.75374012222658,2.0532847729576,2.0532847729576,5,3.75374012222658,2.84108807155716,1
"23",5,2.0532847729576,5,2.84108807155716,5,2.84108807155716,2.0532847729576,3.75374012222658,5,5,3.75374012222658,5,1,1,5,2.84108807155716,2.0532847729576,3.75374012222658,5,1
"24",2.0532847729576,3.75374012222658,2.84108807155716,2.0532847729576,5,1,2.0532847729576,1,2.84108807155716,5,3.75374012222658,3.75374012222658,2.84108807155716,2.84108807155716,1,5,5,5,2.84108807155716,2.0532847729576
"25",2.84108807155716,2.0532847729576,5,1,2.0532847729576,2.0532847729576,2.84108807155716,2.84108807155716,2.84108807155716,2.0532847729576,1,5,1,2.84108807155716,5,2.84108807155716,2.0532847729576,5,5,1
"26",2.84108807155716,2.84108807155716,2.84108807155716,2.0532847729576,3.75374012222658,1,2.0532847729576,1,3.75374012222658,1,1,5,2.84108807155716,2.0532847729576,2.84108807155716,5,2.84108807155716,3.75374012222658,5,1
"27",5,1,2.84108807155716,5,1,3.75374012222658,3.75374012222658,3.75374012222658,1,2.84108807155716,1,5,2.84108807155716,3.75374012222658,3.75374012222658,2.84108807155716,2.84108807155716,3.75374012222658,1,2.0532847729576
"28",3.75374012222658,1,1,2.0532847729576,5,1,1,2.84108807155716,2.84108807155716,2.84108807155716,2.0532847729576,2.0532847729576,2.84108807155716,3.75374012222658,3.75374012222658,5,2.84108807155716,2.0532847729576,3.75374012222658,1
