"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",5,2.03111080366917,3.71861529751401,2.81727424535801,1,2.81727424535801,5,2.03111080366917,2.81727424535801,2.81727424535801,3.71861529751401,2.81727424535801,2.03111080366917,1,5,2.81727424535801,2.03111080366917,5,5,2.81727424535801
"2",3.71861529751401,3.71861529751401,2.03111080366917,2.81727424535801,2.81727424535801,2.03111080366917,2.81727424535801,1,2.03111080366917,1,1,2.81727424535801,2.81727424535801,1,2.81727424535801,2.81727424535801,2.03111080366917,2.81727424535801,2.81727424535801,1
"3",3.71861529751401,2.03111080366917,5,3.71861529751401,2.81727424535801,1,3.71861529751401,1,3.71861529751401,2.03111080366917,1,5,2.03111080366917,2.03111080366917,5,2.03111080366917,1,5,5,1
"4",3.71861529751401,1,2.81727424535801,5,2.81727424535801,5,3.71861529751401,2.03111080366917,1,2.81727424535801,2.03111080366917,5,2.03111080366917,1,2.03111080366917,3.71861529751401,2.81727424535801,5,1,2.81727424535801
"5",2.81727424535801,1,3.71861529751401,2.81727424535801,3.71861529751401,2.03111080366917,3.71861529751401,1,1,2.81727424535801,1,5,1,5,3.71861529751401,5,3.71861529751401,3.71861529751401,2.03111080366917,2.03111080366917
"6",5,1,2.03111080366917,1,2.03111080366917,2.03111080366917,2.81727424535801,3.71861529751401,5,3.71861529751401,2.03111080366917,5,2.03111080366917,2.03111080366917,3.71861529751401,2.03111080366917,3.71861529751401,5,2.81727424535801,2.03111080366917
"7",5,1,5,3.71861529751401,2.81727424535801,2.81727424535801,2.81727424535801,1,2.81727424535801,1,5,5,2.03111080366917,2.81727424535801,2.03111080366917,2.81727424535801,5,5,5,2.03111080366917
"8",1,1,5,2.03111080366917,1,2.03111080366917,3.71861529751401,2.81727424535801,3.71861529751401,3.71861529751401,3.71861529751401,5,2.81727424535801,1,2.81727424535801,5,3.71861529751401,2.81727424535801,1,3.71861529751401
"9",5,2.03111080366917,2.81727424535801,2.81727424535801,2.03111080366917,2.81727424535801,2.81727424535801,2.81727424535801,3.71861529751401,2.81727424535801,1,5,2.03111080366917,2.03111080366917,5,2.81727424535801,1,5,2.03111080366917,2.03111080366917
"10",2.03111080366917,1,2.81727424535801,2.03111080366917,2.03111080366917,1,2.81727424535801,2.81727424535801,2.81727424535801,5,1,5,1,2.03111080366917,3.71861529751401,2.03111080366917,1,3.71861529751401,2.81727424535801,2.03111080366917
"11",2.81727424535801,1,1,5,3.71861529751401,2.81727424535801,2.03111080366917,2.81727424535801,2.81727424535801,5,3.71861529751401,5,1,1,3.71861529751401,3.71861529751401,3.71861529751401,3.71861529751401,3.71861529751401,3.71861529751401
"12",2.81727424535801,2.03111080366917,3.71861529751401,3.71861529751401,3.71861529751401,2.03111080366917,2.81727424535801,2.81727424535801,3.71861529751401,2.03111080366917,2.81727424535801,5,1,2.03111080366917,3.71861529751401,5,3.71861529751401,2.03111080366917,2.81727424535801,2.03111080366917
"13",2.81727424535801,2.03111080366917,3.71861529751401,5,1,2.81727424535801,2.03111080366917,3.71861529751401,3.71861529751401,3.71861529751401,2.81727424535801,3.71861529751401,5,2.81727424535801,2.81727424535801,5,3.71861529751401,2.81727424535801,2.81727424535801,2.03111080366917
"14",2.81727424535801,1,3.71861529751401,3.71861529751401,2.03111080366917,1,1,1,1,3.71861529751401,1,5,2.81727424535801,5,1,3.71861529751401,2.03111080366917,3.71861529751401,1,1
"15",5,2.03111080366917,3.71861529751401,2.03111080366917,2.03111080366917,2.81727424535801,1,2.03111080366917,5,2.03111080366917,3.71861529751401,3.71861529751401,2.81727424535801,1,3.71861529751401,1,1,5,3.71861529751401,1
"16",2.81727424535801,1,2.03111080366917,5,5,2.81727424535801,1,1,5,2.81727424535801,2.81727424535801,3.71861529751401,3.71861529751401,2.81727424535801,5,5,2.81727424535801,5,2.03111080366917,2.03111080366917
"17",5,2.81727424535801,1,2.81727424535801,1,2.81727424535801,2.03111080366917,1,2.03111080366917,1,2.81727424535801,5,3.71861529751401,5,2.03111080366917,2.81727424535801,1,5,2.03111080366917,2.81727424535801
"18",3.71861529751401,2.81727424535801,2.81727424535801,2.81727424535801,1,2.81727424535801,3.71861529751401,1,5,3.71861529751401,2.03111080366917,2.03111080366917,2.81727424535801,3.71861529751401,1,5,2.03111080366917,5,3.71861529751401,1
"19",2.03111080366917,1,3.71861529751401,2.03111080366917,2.03111080366917,2.03111080366917,1,1,3.71861529751401,2.03111080366917,2.03111080366917,5,1,5,5,2.03111080366917,2.03111080366917,5,2.81727424535801,3.71861529751401
"20",5,1,5,2.81727424535801,3.71861529751401,3.71861529751401,3.71861529751401,1,3.71861529751401,1,5,3.71861529751401,3.71861529751401,5,2.81727424535801,1,2.81727424535801,3.71861529751401,3.71861529751401,1
"21",2.81727424535801,1,3.71861529751401,3.71861529751401,2.03111080366917,2.81727424535801,2.81727424535801,1,2.81727424535801,1,2.03111080366917,5,2.81727424535801,2.81727424535801,2.03111080366917,2.81727424535801,2.81727424535801,3.71861529751401,2.03111080366917,2.81727424535801
"22",3.71861529751401,1,2.81727424535801,5,3.71861529751401,3.71861529751401,5,1,1,2.03111080366917,3.71861529751401,3.71861529751401,3.71861529751401,3.71861529751401,2.03111080366917,2.03111080366917,5,3.71861529751401,2.81727424535801,2.03111080366917
"23",5,2.03111080366917,5,2.81727424535801,5,2.81727424535801,2.03111080366917,3.71861529751401,5,5,3.71861529751401,5,1,1,5,2.81727424535801,2.03111080366917,3.71861529751401,5,1
"24",2.03111080366917,3.71861529751401,2.81727424535801,2.03111080366917,5,1,2.03111080366917,1,2.81727424535801,5,3.71861529751401,3.71861529751401,2.81727424535801,2.81727424535801,1,5,5,5,2.81727424535801,2.03111080366917
"25",2.81727424535801,2.03111080366917,5,1,2.03111080366917,2.03111080366917,2.81727424535801,2.81727424535801,2.81727424535801,2.03111080366917,1,5,1,2.81727424535801,5,2.81727424535801,2.03111080366917,5,5,1
"26",2.81727424535801,2.81727424535801,2.81727424535801,2.03111080366917,3.71861529751401,1,2.03111080366917,1,3.71861529751401,1,1,5,2.81727424535801,2.03111080366917,2.81727424535801,5,2.81727424535801,3.71861529751401,5,1
"27",5,1,2.81727424535801,5,1,3.71861529751401,3.71861529751401,3.71861529751401,3.71861529751401,2.81727424535801,1,5,2.81727424535801,3.71861529751401,3.71861529751401,2.81727424535801,2.81727424535801,3.71861529751401,1,2.03111080366917
"28",3.71861529751401,1,1,2.03111080366917,5,1,1,2.81727424535801,1,2.81727424535801,2.03111080366917,2.03111080366917,2.81727424535801,3.71861529751401,3.71861529751401,5,2.81727424535801,2.03111080366917,3.71861529751401,1
