"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",5,2.03654844211675,3.69414952760371,1,2.03654844211675,1,3.69414952760371,2.59144817857034,2.59144817857034,1,1,5,1,2.59144817857034,2.03654844211675,2.03654844211675,2.59144817857034,3.69414952760371,5,1
"2",2.03654844211675,1,2.03654844211675,3.69414952760371,5,2.59144817857034,2.59144817857034,2.03654844211675,5,2.03654844211675,3.69414952760371,2.59144817857034,5,1,2.59144817857034,1,3.69414952760371,5,2.59144817857034,3.69414952760371
"3",2.59144817857034,1,5,2.59144817857034,2.59144817857034,2.59144817857034,2.59144817857034,1,2.59144817857034,1,2.03654844211675,5,2.59144817857034,2.03654844211675,2.59144817857034,1,1,5,5,2.59144817857034
"4",3.69414952760371,3.69414952760371,2.59144817857034,5,1,3.69414952760371,5,2.59144817857034,2.03654844211675,1,2.59144817857034,3.69414952760371,2.59144817857034,3.69414952760371,3.69414952760371,3.69414952760371,5,5,2.59144817857034,3.69414952760371
"5",5,2.59144817857034,1,5,2.03654844211675,1,1,2.03654844211675,5,1,2.59144817857034,2.59144817857034,1,2.59144817857034,1,3.69414952760371,2.59144817857034,5,5,5
"6",2.59144817857034,1,3.69414952760371,5,2.59144817857034,3.69414952760371,2.59144817857034,1,2.03654844211675,2.03654844211675,1,5,3.69414952760371,3.69414952760371,2.03654844211675,5,2.59144817857034,5,2.03654844211675,1
"7",3.69414952760371,1,5,3.69414952760371,1,2.03654844211675,1,3.69414952760371,1,1,1,5,2.59144817857034,5,1,5,3.69414952760371,5,3.69414952760371,1
"8",5,2.03654844211675,5,2.59144817857034,2.59144817857034,1,2.59144817857034,2.59144817857034,1,2.03654844211675,1,5,2.59144817857034,5,2.59144817857034,2.03654844211675,1,5,2.59144817857034,2.59144817857034
"9",2.59144817857034,1,3.69414952760371,3.69414952760371,5,3.69414952760371,1,3.69414952760371,5,2.59144817857034,2.59144817857034,3.69414952760371,3.69414952760371,2.03654844211675,3.69414952760371,2.03654844211675,1,3.69414952760371,3.69414952760371,2.03654844211675
"10",5,1,2.03654844211675,2.03654844211675,3.69414952760371,1,1,2.59144817857034,3.69414952760371,3.69414952760371,2.59144817857034,5,2.59144817857034,1,1,2.59144817857034,2.59144817857034,5,5,1
"11",2.03654844211675,2.59144817857034,2.03654844211675,3.69414952760371,3.69414952760371,1,1,2.03654844211675,3.69414952760371,1,2.59144817857034,5,1,5,2.59144817857034,3.69414952760371,1,2.59144817857034,5,2.59144817857034
"12",3.69414952760371,2.59144817857034,5,1,3.69414952760371,3.69414952760371,3.69414952760371,2.03654844211675,2.03654844211675,3.69414952760371,5,5,2.03654844211675,3.69414952760371,2.59144817857034,2.03654844211675,2.59144817857034,5,5,1
"13",3.69414952760371,2.03654844211675,2.03654844211675,2.03654844211675,2.03654844211675,5,5,3.69414952760371,1,2.03654844211675,2.03654844211675,5,2.59144817857034,1,2.03654844211675,3.69414952760371,3.69414952760371,5,2.59144817857034,1
"14",3.69414952760371,1,2.59144817857034,5,2.59144817857034,2.59144817857034,3.69414952760371,2.59144817857034,1,1,1,5,3.69414952760371,5,2.03654844211675,2.59144817857034,3.69414952760371,2.03654844211675,2.03654844211675,2.03654844211675
"15",2.59144817857034,2.03654844211675,5,2.59144817857034,3.69414952760371,2.59144817857034,5,1,2.59144817857034,5,1,5,1,2.59144817857034,3.69414952760371,2.59144817857034,1,5,3.69414952760371,2.03654844211675
"16",5,1,3.69414952760371,5,2.59144817857034,2.03654844211675,2.59144817857034,1,2.59144817857034,5,1,5,2.59144817857034,2.59144817857034,2.03654844211675,2.59144817857034,2.59144817857034,5,3.69414952760371,2.03654844211675
"17",2.59144817857034,1,3.69414952760371,5,5,2.03654844211675,2.59144817857034,2.03654844211675,1,1,1,5,5,2.59144817857034,1,2.59144817857034,5,3.69414952760371,1,1
"18",2.59144817857034,2.59144817857034,5,2.03654844211675,3.69414952760371,2.03654844211675,5,2.59144817857034,2.59144817857034,2.03654844211675,1,5,3.69414952760371,2.03654844211675,2.03654844211675,5,2.03654844211675,5,2.03654844211675,2.59144817857034
"19",2.03654844211675,2.03654844211675,3.69414952760371,1,2.03654844211675,2.59144817857034,1,5,5,3.69414952760371,1,3.69414952760371,1,1,5,3.69414952760371,2.03654844211675,5,3.69414952760371,1
"20",3.69414952760371,2.59144817857034,2.59144817857034,3.69414952760371,1,2.59144817857034,5,1,2.03654844211675,2.59144817857034,1,5,5,2.03654844211675,3.69414952760371,2.03654844211675,3.69414952760371,2.03654844211675,1,1
"21",5,2.03654844211675,5,5,1,3.69414952760371,1,2.03654844211675,2.03654844211675,1,1,5,2.03654844211675,3.69414952760371,2.03654844211675,5,5,5,1,3.69414952760371
"22",1,2.03654844211675,5,5,1,3.69414952760371,5,1,3.69414952760371,1,3.69414952760371,3.69414952760371,3.69414952760371,1,2.03654844211675,2.59144817857034,5,3.69414952760371,2.03654844211675,3.69414952760371
"23",5,1,5,2.03654844211675,1,1,1,5,3.69414952760371,2.59144817857034,1,2.59144817857034,1,1,5,3.69414952760371,2.03654844211675,5,2.03654844211675,2.59144817857034
