"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",4.57521272914836,2.44631280617996,4.57521272914836,3.94502784287772,3.94502784287772,3.94502784287772,3.94502784287772,3.94502784287772,3.94502784287772,3.94502784287772,2.44631280617996,5,3.94502784287772,3.94502784287772,3.94502784287772,3.94502784287772,3.94502784287772,5,3.94502784287772,2.44631280617996
"2",5,5,3.94502784287772,5,5,3.94502784287772,5,3.94502784287772,5,5,5,5,5,5,3.94502784287772,5,5,5,5,3.94502784287772
"3",5,1,5,4.57521272914836,1,4.57521272914836,4.57521272914836,2.44631280617996,4.57521272914836,4.57521272914836,1,5,2.44631280617996,1,5,4.57521272914836,4.57521272914836,5,4.57521272914836,1
"4",2.44631280617996,1,2.44631280617996,4.57521272914836,1,2.44631280617996,2.44631280617996,1,1,1,1,4.57521272914836,2.44631280617996,2.44631280617996,1,2.44631280617996,4.57521272914836,4.57521272914836,1,1
"5",1,1,1,2.44631280617996,3.94502784287772,1,2.44631280617996,1,2.44631280617996,2.44631280617996,2.44631280617996,5,1,1,1,2.44631280617996,2.44631280617996,3.94502784287772,2.44631280617996,1
"6",4.57521272914836,2.44631280617996,4.57521272914836,4.57521272914836,3.94502784287772,3.94502784287772,4.57521272914836,3.94502784287772,3.94502784287772,3.94502784287772,2.44631280617996,5,4.57521272914836,3.94502784287772,4.57521272914836,4.57521272914836,4.57521272914836,5,3.94502784287772,2.44631280617996
"7",4.57521272914836,3.94502784287772,4.57521272914836,5,3.94502784287772,3.94502784287772,4.57521272914836,3.94502784287772,3.94502784287772,3.94502784287772,3.94502784287772,5,3.94502784287772,3.94502784287772,3.94502784287772,4.57521272914836,4.57521272914836,5,3.94502784287772,2.44631280617996
"8",3.94502784287772,1,3.94502784287772,2.44631280617996,2.44631280617996,2.44631280617996,2.44631280617996,2.44631280617996,2.44631280617996,2.44631280617996,1,5,2.44631280617996,2.44631280617996,2.44631280617996,2.44631280617996,2.44631280617996,3.94502784287772,2.44631280617996,1
"9",5,3.94502784287772,5,4.57521272914836,5,4.57521272914836,4.57521272914836,3.94502784287772,5,5,4.57521272914836,5,3.94502784287772,3.94502784287772,5,5,4.57521272914836,5,5,2.44631280617996
"10",3.94502784287772,3.94502784287772,3.94502784287772,3.94502784287772,3.94502784287772,2.44631280617996,3.94502784287772,2.44631280617996,3.94502784287772,3.94502784287772,3.94502784287772,4.57521272914836,2.44631280617996,3.94502784287772,3.94502784287772,3.94502784287772,3.94502784287772,4.57521272914836,3.94502784287772,2.44631280617996
