"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",5,5,5,5,4.276228375603,3.15694729866837,1.87115141041975,5,3.15694729866837,4.276228375603,3.15694729866837,1,4.276228375603,1.87115141041975,3.15694729866837,5,1.87115141041975,4.276228375603,4.276228375603,5
"2",1.87115141041975,4.276228375603,1,1.87115141041975,1,3.15694729866837,1,4.276228375603,1.87115141041975,3.15694729866837,3.15694729866837,3.15694729866837,1.87115141041975,1,3.15694729866837,4.276228375603,3.15694729866837,1.87115141041975,3.15694729866837,4.276228375603
"3",4.276228375603,3.15694729866837,3.15694729866837,3.15694729866837,3.15694729866837,3.15694729866837,1.87115141041975,3.15694729866837,3.15694729866837,3.15694729866837,3.15694729866837,1.87115141041975,3.15694729866837,1.87115141041975,3.15694729866837,4.276228375603,1.87115141041975,3.15694729866837,3.15694729866837,3.15694729866837
"4",4.276228375603,4.276228375603,4.276228375603,1.87115141041975,1,4.276228375603,1,4.276228375603,1,4.276228375603,1,1,3.15694729866837,1.87115141041975,1.87115141041975,4.276228375603,3.15694729866837,4.276228375603,1,1
"5",3.15694729866837,5,1,3.15694729866837,1,4.276228375603,1,5,3.15694729866837,3.15694729866837,4.276228375603,4.276228375603,3.15694729866837,1,4.276228375603,5,4.276228375603,3.15694729866837,4.276228375603,5
"6",5,4.276228375603,4.276228375603,4.276228375603,1.87115141041975,4.276228375603,1.87115141041975,4.276228375603,1.87115141041975,4.276228375603,3.15694729866837,1.87115141041975,4.276228375603,3.15694729866837,3.15694729866837,5,3.15694729866837,4.276228375603,3.15694729866837,4.276228375603
"7",5,5,4.276228375603,4.276228375603,3.15694729866837,4.276228375603,3.15694729866837,5,3.15694729866837,4.276228375603,3.15694729866837,3.15694729866837,4.276228375603,3.15694729866837,4.276228375603,5,4.276228375603,4.276228375603,3.15694729866837,4.276228375603
"8",5,5,5,4.276228375603,3.15694729866837,5,1.87115141041975,5,3.15694729866837,5,3.15694729866837,1.87115141041975,4.276228375603,3.15694729866837,3.15694729866837,5,3.15694729866837,5,4.276228375603,4.276228375603
"9",5,4.276228375603,1.87115141041975,4.276228375603,3.15694729866837,1,1,5,1.87115141041975,1.87115141041975,3.15694729866837,1,1.87115141041975,1,1.87115141041975,5,1,1.87115141041975,4.276228375603,5
"10",4.276228375603,4.276228375603,1.87115141041975,3.15694729866837,1.87115141041975,1.87115141041975,1.87115141041975,4.276228375603,3.15694729866837,1.87115141041975,3.15694729866837,1.87115141041975,1.87115141041975,1,3.15694729866837,4.276228375603,3.15694729866837,1.87115141041975,4.276228375603,4.276228375603
"11",3.15694729866837,5,1.87115141041975,1.87115141041975,1.87115141041975,4.276228375603,1.87115141041975,5,3.15694729866837,3.15694729866837,4.276228375603,4.276228375603,1.87115141041975,1.87115141041975,4.276228375603,5,5,1.87115141041975,4.276228375603,5
"12",4.276228375603,4.276228375603,3.15694729866837,3.15694729866837,3.15694729866837,3.15694729866837,1.87115141041975,4.276228375603,3.15694729866837,3.15694729866837,3.15694729866837,3.15694729866837,3.15694729866837,1.87115141041975,3.15694729866837,4.276228375603,3.15694729866837,3.15694729866837,3.15694729866837,4.276228375603
"13",4.276228375603,4.276228375603,4.276228375603,3.15694729866837,1,4.276228375603,1.87115141041975,4.276228375603,1.87115141041975,4.276228375603,1.87115141041975,1.87115141041975,4.276228375603,3.15694729866837,3.15694729866837,5,3.15694729866837,4.276228375603,1.87115141041975,3.15694729866837
"14",4.276228375603,4.276228375603,4.276228375603,4.276228375603,3.15694729866837,4.276228375603,3.15694729866837,4.276228375603,4.276228375603,4.276228375603,4.276228375603,4.276228375603,4.276228375603,4.276228375603,4.276228375603,5,4.276228375603,4.276228375603,4.276228375603,4.276228375603
"15",4.276228375603,3.15694729866837,3.15694729866837,4.276228375603,3.15694729866837,1.87115141041975,1.87115141041975,4.276228375603,3.15694729866837,1.87115141041975,3.15694729866837,1,3.15694729866837,1,1.87115141041975,4.276228375603,1,1.87115141041975,3.15694729866837,4.276228375603
"16",4.276228375603,4.276228375603,4.276228375603,4.276228375603,1.87115141041975,4.276228375603,1.87115141041975,4.276228375603,1.87115141041975,4.276228375603,4.276228375603,3.15694729866837,4.276228375603,1.87115141041975,4.276228375603,5,4.276228375603,4.276228375603,4.276228375603,4.276228375603
"17",4.276228375603,4.276228375603,4.276228375603,1,1,4.276228375603,1,4.276228375603,1,4.276228375603,1,1,3.15694729866837,1,1,4.276228375603,1,4.276228375603,1,1
"18",5,4.276228375603,4.276228375603,4.276228375603,3.15694729866837,4.276228375603,3.15694729866837,5,3.15694729866837,4.276228375603,3.15694729866837,3.15694729866837,4.276228375603,3.15694729866837,3.15694729866837,5,3.15694729866837,4.276228375603,4.276228375603,4.276228375603
"19",4.276228375603,3.15694729866837,3.15694729866837,3.15694729866837,3.15694729866837,1,1.87115141041975,4.276228375603,3.15694729866837,1.87115141041975,3.15694729866837,1,3.15694729866837,1,3.15694729866837,5,1.87115141041975,1.87115141041975,4.276228375603,4.276228375603
"20",4.276228375603,4.276228375603,4.276228375603,1.87115141041975,1,4.276228375603,1,4.276228375603,1,4.276228375603,1,1,1.87115141041975,1.87115141041975,1.87115141041975,5,1.87115141041975,4.276228375603,1,1.87115141041975
"21",5,4.276228375603,4.276228375603,3.15694729866837,1,5,1,5,1,5,1,1,4.276228375603,1.87115141041975,1.87115141041975,5,1.87115141041975,4.276228375603,1,1.87115141041975
"22",3.15694729866837,3.15694729866837,1.87115141041975,1.87115141041975,1.87115141041975,3.15694729866837,1.87115141041975,3.15694729866837,1.87115141041975,3.15694729866837,1.87115141041975,1.87115141041975,1.87115141041975,1.87115141041975,1.87115141041975,4.276228375603,1.87115141041975,1.87115141041975,1.87115141041975,1.87115141041975
"23",4.276228375603,3.15694729866837,3.15694729866837,4.276228375603,3.15694729866837,1,1.87115141041975,4.276228375603,3.15694729866837,1.87115141041975,3.15694729866837,1,3.15694729866837,1,1.87115141041975,5,1,1.87115141041975,4.276228375603,5
"24",3.15694729866837,4.276228375603,1.87115141041975,3.15694729866837,1.87115141041975,3.15694729866837,3.15694729866837,5,3.15694729866837,3.15694729866837,3.15694729866837,3.15694729866837,3.15694729866837,3.15694729866837,3.15694729866837,5,3.15694729866837,3.15694729866837,3.15694729866837,5
"25",5,4.276228375603,4.276228375603,4.276228375603,4.276228375603,4.276228375603,1.87115141041975,5,3.15694729866837,4.276228375603,3.15694729866837,1,4.276228375603,1.87115141041975,1.87115141041975,5,1.87115141041975,4.276228375603,4.276228375603,4.276228375603
"26",4.276228375603,4.276228375603,1.87115141041975,3.15694729866837,3.15694729866837,3.15694729866837,1.87115141041975,4.276228375603,3.15694729866837,3.15694729866837,4.276228375603,1.87115141041975,3.15694729866837,1.87115141041975,3.15694729866837,5,3.15694729866837,1.87115141041975,4.276228375603,5
"27",3.15694729866837,3.15694729866837,3.15694729866837,3.15694729866837,1.87115141041975,3.15694729866837,1.87115141041975,3.15694729866837,1.87115141041975,3.15694729866837,3.15694729866837,3.15694729866837,3.15694729866837,3.15694729866837,3.15694729866837,4.276228375603,3.15694729866837,3.15694729866837,3.15694729866837,3.15694729866837
"28",3.15694729866837,4.276228375603,1,1.87115141041975,1,3.15694729866837,1,4.276228375603,3.15694729866837,1.87115141041975,3.15694729866837,3.15694729866837,1,1,3.15694729866837,4.276228375603,3.15694729866837,1,3.15694729866837,4.276228375603
"29",5,5,5,4.276228375603,1.87115141041975,5,1,5,1.87115141041975,5,3.15694729866837,1,4.276228375603,3.15694729866837,3.15694729866837,5,3.15694729866837,5,3.15694729866837,3.15694729866837
"30",5,5,5,5,4.276228375603,4.276228375603,4.276228375603,5,4.276228375603,5,5,4.276228375603,5,4.276228375603,4.276228375603,5,4.276228375603,4.276228375603,5,5
"31",5,3.15694729866837,4.276228375603,3.15694729866837,1.87115141041975,1.87115141041975,1,4.276228375603,1.87115141041975,3.15694729866837,1.87115141041975,1,3.15694729866837,1.87115141041975,1.87115141041975,5,1,3.15694729866837,1.87115141041975,1.87115141041975
"32",5,4.276228375603,4.276228375603,4.276228375603,4.276228375603,4.276228375603,3.15694729866837,5,4.276228375603,4.276228375603,4.276228375603,3.15694729866837,4.276228375603,3.15694729866837,4.276228375603,5,4.276228375603,4.276228375603,4.276228375603,5
"33",1.87115141041975,3.15694729866837,1.87115141041975,1.87115141041975,1.87115141041975,1.87115141041975,1.87115141041975,4.276228375603,1.87115141041975,1.87115141041975,1.87115141041975,1.87115141041975,1.87115141041975,1,1.87115141041975,4.276228375603,1.87115141041975,1.87115141041975,3.15694729866837,4.276228375603
