"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",5,5,5,5,4.17888949286831,3.05550192166628,1.80386531354179,5,3.05550192166628,4.17888949286831,3.05550192166628,1,4.17888949286831,1.80386531354179,3.05550192166628,5,1.80386531354179,4.17888949286831,4.17888949286831,5
"2",1.80386531354179,4.17888949286831,1,1.80386531354179,1,3.05550192166628,1,4.17888949286831,1.80386531354179,3.05550192166628,3.05550192166628,3.05550192166628,1.80386531354179,1,3.05550192166628,4.17888949286831,3.05550192166628,3.05550192166628,3.05550192166628,4.17888949286831
"3",4.17888949286831,3.05550192166628,3.05550192166628,3.05550192166628,3.05550192166628,3.05550192166628,1.80386531354179,3.05550192166628,3.05550192166628,3.05550192166628,3.05550192166628,1.80386531354179,3.05550192166628,1.80386531354179,3.05550192166628,4.17888949286831,1.80386531354179,3.05550192166628,3.05550192166628,3.05550192166628
"4",4.17888949286831,4.17888949286831,4.17888949286831,1.80386531354179,1,4.17888949286831,1,4.17888949286831,1,4.17888949286831,1,1,3.05550192166628,1.80386531354179,1.80386531354179,4.17888949286831,3.05550192166628,4.17888949286831,1,1
"5",3.05550192166628,5,1,3.05550192166628,1,4.17888949286831,1,5,3.05550192166628,3.05550192166628,4.17888949286831,4.17888949286831,3.05550192166628,1,4.17888949286831,5,4.17888949286831,3.05550192166628,4.17888949286831,5
"6",5,4.17888949286831,4.17888949286831,4.17888949286831,1.80386531354179,4.17888949286831,1.80386531354179,4.17888949286831,1.80386531354179,4.17888949286831,3.05550192166628,1.80386531354179,4.17888949286831,3.05550192166628,3.05550192166628,5,3.05550192166628,4.17888949286831,3.05550192166628,1.80386531354179
"7",5,5,4.17888949286831,4.17888949286831,3.05550192166628,4.17888949286831,3.05550192166628,5,3.05550192166628,4.17888949286831,3.05550192166628,3.05550192166628,4.17888949286831,3.05550192166628,4.17888949286831,5,4.17888949286831,4.17888949286831,3.05550192166628,4.17888949286831
"8",5,5,5,4.17888949286831,3.05550192166628,5,1.80386531354179,5,3.05550192166628,5,3.05550192166628,1.80386531354179,4.17888949286831,3.05550192166628,3.05550192166628,5,3.05550192166628,5,4.17888949286831,4.17888949286831
"9",5,4.17888949286831,1.80386531354179,4.17888949286831,3.05550192166628,1,1,5,1.80386531354179,1.80386531354179,3.05550192166628,1,1.80386531354179,1,1.80386531354179,5,1,3.05550192166628,4.17888949286831,5
"10",4.17888949286831,4.17888949286831,1.80386531354179,3.05550192166628,1.80386531354179,1.80386531354179,1.80386531354179,4.17888949286831,3.05550192166628,1.80386531354179,3.05550192166628,1.80386531354179,1.80386531354179,1,3.05550192166628,4.17888949286831,3.05550192166628,1.80386531354179,4.17888949286831,4.17888949286831
"11",3.05550192166628,5,1.80386531354179,1.80386531354179,1.80386531354179,4.17888949286831,1.80386531354179,5,3.05550192166628,3.05550192166628,4.17888949286831,4.17888949286831,1.80386531354179,1.80386531354179,4.17888949286831,5,5,1.80386531354179,4.17888949286831,5
"12",4.17888949286831,4.17888949286831,3.05550192166628,3.05550192166628,3.05550192166628,3.05550192166628,1.80386531354179,4.17888949286831,3.05550192166628,3.05550192166628,3.05550192166628,3.05550192166628,3.05550192166628,1.80386531354179,3.05550192166628,4.17888949286831,3.05550192166628,3.05550192166628,3.05550192166628,4.17888949286831
"13",4.17888949286831,4.17888949286831,4.17888949286831,3.05550192166628,1,4.17888949286831,1.80386531354179,4.17888949286831,1.80386531354179,4.17888949286831,1.80386531354179,1.80386531354179,4.17888949286831,3.05550192166628,3.05550192166628,5,3.05550192166628,4.17888949286831,1.80386531354179,3.05550192166628
"14",4.17888949286831,4.17888949286831,4.17888949286831,4.17888949286831,3.05550192166628,4.17888949286831,3.05550192166628,4.17888949286831,4.17888949286831,4.17888949286831,4.17888949286831,4.17888949286831,4.17888949286831,4.17888949286831,4.17888949286831,5,4.17888949286831,4.17888949286831,4.17888949286831,4.17888949286831
"15",4.17888949286831,3.05550192166628,3.05550192166628,4.17888949286831,3.05550192166628,1.80386531354179,1.80386531354179,4.17888949286831,3.05550192166628,1.80386531354179,3.05550192166628,1,3.05550192166628,1,1.80386531354179,4.17888949286831,1,1.80386531354179,3.05550192166628,4.17888949286831
"16",4.17888949286831,4.17888949286831,4.17888949286831,4.17888949286831,1.80386531354179,4.17888949286831,1.80386531354179,4.17888949286831,1.80386531354179,4.17888949286831,4.17888949286831,3.05550192166628,4.17888949286831,1.80386531354179,4.17888949286831,5,4.17888949286831,4.17888949286831,4.17888949286831,4.17888949286831
"17",4.17888949286831,4.17888949286831,4.17888949286831,1,1,4.17888949286831,1,4.17888949286831,1,4.17888949286831,1,1,3.05550192166628,1,1,4.17888949286831,1,4.17888949286831,1,1
"18",5,4.17888949286831,4.17888949286831,4.17888949286831,3.05550192166628,4.17888949286831,3.05550192166628,5,3.05550192166628,4.17888949286831,3.05550192166628,3.05550192166628,4.17888949286831,3.05550192166628,3.05550192166628,5,3.05550192166628,4.17888949286831,4.17888949286831,4.17888949286831
"19",4.17888949286831,3.05550192166628,3.05550192166628,3.05550192166628,3.05550192166628,1,1.80386531354179,4.17888949286831,3.05550192166628,1.80386531354179,3.05550192166628,1,3.05550192166628,1,3.05550192166628,5,1.80386531354179,1.80386531354179,4.17888949286831,4.17888949286831
"20",4.17888949286831,4.17888949286831,4.17888949286831,1.80386531354179,1,4.17888949286831,1,4.17888949286831,1,4.17888949286831,1,1,1.80386531354179,1.80386531354179,1.80386531354179,5,1.80386531354179,4.17888949286831,1,1.80386531354179
"21",5,4.17888949286831,4.17888949286831,3.05550192166628,1,5,1,5,1,5,1,1,4.17888949286831,1.80386531354179,1.80386531354179,5,1.80386531354179,4.17888949286831,1,1.80386531354179
"22",3.05550192166628,3.05550192166628,1.80386531354179,1.80386531354179,1.80386531354179,3.05550192166628,1.80386531354179,3.05550192166628,1.80386531354179,3.05550192166628,1.80386531354179,1.80386531354179,1.80386531354179,1.80386531354179,1.80386531354179,4.17888949286831,1.80386531354179,1.80386531354179,1.80386531354179,1.80386531354179
"23",4.17888949286831,3.05550192166628,3.05550192166628,4.17888949286831,3.05550192166628,1,1.80386531354179,4.17888949286831,3.05550192166628,1.80386531354179,3.05550192166628,1,3.05550192166628,1,1.80386531354179,5,1,1.80386531354179,4.17888949286831,5
"24",3.05550192166628,4.17888949286831,1.80386531354179,3.05550192166628,1.80386531354179,3.05550192166628,3.05550192166628,5,3.05550192166628,3.05550192166628,3.05550192166628,3.05550192166628,3.05550192166628,3.05550192166628,3.05550192166628,5,3.05550192166628,3.05550192166628,3.05550192166628,5
"25",5,4.17888949286831,4.17888949286831,4.17888949286831,4.17888949286831,4.17888949286831,1.80386531354179,5,3.05550192166628,4.17888949286831,3.05550192166628,1,4.17888949286831,1.80386531354179,1.80386531354179,5,1.80386531354179,4.17888949286831,4.17888949286831,4.17888949286831
"26",4.17888949286831,4.17888949286831,1.80386531354179,3.05550192166628,3.05550192166628,3.05550192166628,1.80386531354179,4.17888949286831,3.05550192166628,3.05550192166628,4.17888949286831,1.80386531354179,3.05550192166628,1.80386531354179,3.05550192166628,5,3.05550192166628,1.80386531354179,4.17888949286831,5
"27",3.05550192166628,3.05550192166628,3.05550192166628,3.05550192166628,1.80386531354179,3.05550192166628,1.80386531354179,3.05550192166628,1.80386531354179,3.05550192166628,3.05550192166628,3.05550192166628,3.05550192166628,3.05550192166628,3.05550192166628,4.17888949286831,3.05550192166628,3.05550192166628,3.05550192166628,3.05550192166628
"28",3.05550192166628,4.17888949286831,1,1.80386531354179,1,3.05550192166628,1.80386531354179,4.17888949286831,3.05550192166628,1.80386531354179,3.05550192166628,3.05550192166628,1,1,3.05550192166628,4.17888949286831,3.05550192166628,1,3.05550192166628,4.17888949286831
"29",5,5,5,4.17888949286831,1.80386531354179,5,1,5,1.80386531354179,5,3.05550192166628,1,4.17888949286831,3.05550192166628,3.05550192166628,5,3.05550192166628,5,3.05550192166628,3.05550192166628
"30",5,5,5,5,4.17888949286831,4.17888949286831,4.17888949286831,5,4.17888949286831,5,5,4.17888949286831,5,4.17888949286831,4.17888949286831,5,4.17888949286831,4.17888949286831,5,5
"31",5,3.05550192166628,4.17888949286831,3.05550192166628,1.80386531354179,1.80386531354179,1,4.17888949286831,1.80386531354179,3.05550192166628,1.80386531354179,1.80386531354179,3.05550192166628,1.80386531354179,1.80386531354179,5,1,3.05550192166628,1.80386531354179,1.80386531354179
"32",5,4.17888949286831,4.17888949286831,4.17888949286831,4.17888949286831,4.17888949286831,3.05550192166628,5,4.17888949286831,4.17888949286831,4.17888949286831,3.05550192166628,4.17888949286831,3.05550192166628,3.05550192166628,5,4.17888949286831,4.17888949286831,4.17888949286831,5
"33",1.80386531354179,3.05550192166628,1.80386531354179,1.80386531354179,1.80386531354179,1.80386531354179,1.80386531354179,4.17888949286831,1.80386531354179,1.80386531354179,1.80386531354179,1.80386531354179,1.80386531354179,1,1.80386531354179,4.17888949286831,1.80386531354179,1.80386531354179,3.05550192166628,4.17888949286831
"34",5,3.05550192166628,4.17888949286831,1.80386531354179,1,5,1,3.05550192166628,1,5,1,1,3.05550192166628,1.80386531354179,1,5,1,4.17888949286831,1,1
